"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VZWLSQ65","book","1999","Groothuis, Doug","The Soul in Cyberspace","","978-1-57910-229-6","","","","","1999-03-08","2018-12-30 21:14:15","2019-01-15 17:44:01","","","193","","","","","","","","","","Wipf and Stock Publishers","","en","","","","","Google Books","","Google-Books-ID: snZKAwAAQBAJ","","","https://books.google.co.uk/books?id=snZKAwAAQBAJ","","Religion / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSNP9WQN","book","2003","Borgmann, Albert","Power Failure: Christianity in the Culture of Technology","","978-1-4412-3156-7","","","","We live in a culture shaped and fueled by technology. Usually we equate access to technology with opportunity and the chance to pursue ""the good life."" Power Failure raises some crucial, if disconcerting, questions about technology: If technology liberates us, what kind of liberation does it promise? Are we prospering, and by what definition?  Albert Borgmann looks at the relationship between Christianity and technology by examining some of the ""invisible"" dangers of a technology-driven lifestyle. Specifically, he points out how utility and consumption have replaced connection to physical things and meaningful practices in everyday life. Power Failure calls us to redeem and restrain technology through simple Christian practices, including citizen-based decision making, shared meals, and daily Scripture reading.","2003-06-01","2018-12-30 21:14:34","2019-01-15 17:44:01","","","145","","","","","Power Failure","","","","","Baker Books","","en","","","","","Google Books","","Google-Books-ID: koUL7eggvT8C","","","https://books.google.co.uk/books?id=koUL7eggvT8C","","Philosophy / Religious","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVHADAHF","book","2004","Schultze, Quentin J.","Habits of the High-Tech Heart: Living Virtuously in the Information Age","","978-1-4412-0686-2","","","","Habits of the High-Tech Heart addresses the major drawbacks to the network computerization of our society and the growing tendency to substitute technology and innovation for morality and virtue.The solution is not to dismantle our growing technologies but to pay more attention to the ""habits of the heart."" Schultze calls for a renewal of community and offers readers ways to live by habits of the heart in the information age.","2004-06-01","2018-12-30 21:14:55","2019-01-15 17:44:01","","","498","","","","","Habits of the High-Tech Heart","","","","","Baker Books","","en","","","","","Google Books","","Google-Books-ID: evVDJd4VWa8C","","","https://books.google.co.uk/books?id=evVDJd4VWa8C","","Religion / Christian Life / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYFSNURK","book","2015","Challies, Tim","The Next Story: Faith, Friends, Family, and the Digital World","","978-0-310-52083-2","","","","Even the least technical among us are being pressed from all sides by advances in digital technology. We rely upon computers, cell phones, and the Internet for communication, commerce, and entertainment. Yet even though we live in this “instant message” culture, many of us feel disconnected, and we question if all this technology is really good for our souls.In a manner that’s accessible, thoughtful, and biblical, author Tim Challies addresses questions such as:• How has life—and faith—changed now that everyone is available all the time through mobile phones?• How does our constant connection to these digital devices affect our families and our church communities?• What does it mean that almost two billion humans are connected by the Internet … with hundreds of millions more coming online each year?Providing the reader with a framework they can apply to any technology, Tim Challies explains how and why our society has become reliant on digital technology, what it means for our lives, and how it impacts the Christian faith.","2015-03-10","2018-12-30 21:16:35","2019-01-15 17:44:01","","","152","","","","","The Next Story","","","","","Zondervan","","en","","","","","Google Books","","Google-Books-ID: oPR9BAAAQBAJ","","","https://books.google.co.uk/books?id=oPR9BAAAQBAJ","","Religion / Christian Life / General; Religion / Christian Life / Social Issues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ELCAKJI","book","2011","Dyer, John","From the Garden to the City: The Redeeming and Corrupting Power of Technology","","978-0-8254-8930-3","","","","Where does technology belong in the biblical story of redemption? Believers and unbelievers alike are saturated with technology, yet most give it little if any thought. Consumers buy and upgrade as fast as they can, largely unaware of technology's subtle yet powerful influence. In a world where technology changes almost daily, many are left to wonder: Should Christians embrace all that is happening? Are there some technologies that we need to avoid? Does the Bible give us any guidance on how to use digital tools and social media? An experienced Web developer and writer on technology and culture, John Dyer answers these questions and more by walking through the story of the Bible and introducing key ideas about how technology and culture interact. Dyer first analyzes the biblical, theological, and philosophical foundations of technology and then studies several examples that show how technology can influence the spiritual life. For youth pastors, college-aged readers, and anyone interested in understanding how technology fits with faith, ""From the Garden to the City"" fills a gap for biblically-informed literature in a technological world. ""The burgeoning field of internet possibilities has very little written from a Christian perspective, much less from a gifted artist like John Dyer.""--J. Scott Horrell, Professor of Theological Studies, Dallas Theological Seminary ""Of all the voices speaking and writing on the subject today, John Dyer's is among the voices I most respect. [His] unique combination of technological and theological passion, insight, and credentials make him an author and thought leader that people of faith need to hear from.""--Scott McClellan, editor, ""Collide Magazine""","2011-07-13","2018-12-30 21:17:09","2019-01-15 17:44:01","","","194","","","","","From the Garden to the City","","","","","Kregel Publications","","en","","","","","Google Books","","","","","https://books.google.co.uk/books?id=NsnWrd2vm-kC","","Religion / Christian Life / Social Issues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXNFSL5W","book","2013","Schuurman, Derek C.","Shaping a Digital World: Faith, Culture and Computer Technology","","978-0-8308-2713-8","","","","Digital technology has become a ubiquitous feature of modern life. Our increasingly fast-paced world seems more and more remote from the world narrated in Scripture. But despite its pervasiveness, there remains a dearth of theological reflection about computer technology and what it means to live as a faithful Christian in a digitally-saturated society. In this thoughtful and timely book, Derek Schuurman provides a brief theology of technology, rooted in the Reformed tradition and oriented around the grand themes of creation, fall, redemption and new creation. He combines a concise, accessible style with penetrating cultural and theological analysis. Building on the work of Jacques Ellul, Marshall McLuhan and Neil Postman, and drawing from a wide range of Reformed thinkers, Schuurman situates computer technology within the big picture of the biblical story. Technology is not neutral, but neither is there an exclusively &quot;Christian&quot; form of technological production and use. Instead, Schuurman guides us to see the digital world as part of God’s good creation, fallen yet redeemable according to the law of God. Responsibly used, technology can become an integral part of God’s shalom for the earth.","2013-05-02","2018-12-30 21:18:09","2019-01-15 17:44:01","","","145","","","","","Shaping a Digital World","","","","","InterVarsity Press","","en","","","","","Google Books","","","","","https://books.google.co.uk/books?id=-m33gBYK8bAC","","Computers / Social Aspects / General; Religion / Christian Theology / Apologetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5U3BF58T","book","2015","Nicholas, Pete","Virtually Human: Flourishing in a Digital World","","978-1-78359-389-7","","","","","2015","2018-12-30 21:19:06","2019-01-15 17:44:01","","","176","","","","","Virtually Human","","","","","Inter-Varsity Press","","en","","","","","Google Books","","Google-Books-ID: 4UkNjwEACAAJ","","","https://books.google.co.uk/books?id=4UkNjwEACAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9WB4LH6","book","2017","Crouch, Andy","The Tech-Wise Family: Everyday Steps for Putting Technology in Its Proper Place","","978-1-4934-0655-5","","","","Making conscientious choices about technology in our families is more than just using internet filters and determining screen time limits for our children. It's about developing wisdom, character, and courage in the way we use digital media rather than accepting technology's promises of ease, instant gratification, and the world's knowledge at our fingertips. And it's definitely not just about the kids.Drawing on in-depth original research from the Barna Group, Andy Crouch shows readers that the choices we make about technology have consequences we may never have considered. He takes readers beyond the typical questions of what, where, and when and instead challenges them to answer provocative questions like, Who do we want to be as a family? and How does our use of a particular technology move us closer or farther away from that goal? Anyone who has felt their family relationships suffer or their time slip away amid technology's distractions will find in this book a path forward to reclaiming their real life in a world of devices.","2017-04-18","2018-12-30 21:19:24","2019-01-15 17:44:01","","","148","","","","","The Tech-Wise Family","","","","","Baker Books","","en","","","","","Google Books","","Google-Books-ID: BhHeDAAAQBAJ","","","https://books.google.co.uk/books?id=BhHeDAAAQBAJ","","Family & Relationships / Life Stages / School Age; Family & Relationships / Parenting / General; Religion / Christian Life / Family","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKSUXS9J","book","2017","Reinke, Tony","12 Ways Your Phone Is Changing You","","978-1-4335-5246-5","","","","Do You Control Your Phone—Or Does Your Phone Control You? Within a few years of its unveiling, the smartphone had become part of us, fully integrated into the daily patterns of our lives. Never offline, always within reach, we now wield in our hands a magic wand of technological power we have only begun to grasp. But it raises new enigmas, too. Never more connected, we seem to be growing more distant. Never more efficient, we have never been more distracted. Drawing from the insights of numerous thinkers, published studies, and his own research, writer Tony Reinke identifies twelve potent ways our smartphones have changed us—for good and bad. Reinke calls us to cultivate wise thinking and healthy habits in the digital age, encouraging us to maximize the many blessings, to avoid the various pitfalls, and to wisely wield the most powerful gadget of human connection ever unleashed.","2017-04-13","2018-12-30 21:19:39","2019-01-15 17:44:01","","","162","","","","","","","","","","Crossway","","en","","","","","Google Books","","Google-Books-ID: KYquDgAAQBAJ","","","https://books.google.co.uk/books?id=KYquDgAAQBAJ","","Religion / Christian Life / Social Issues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7I68MQQ","book","2017","","Hacked: How a Christian Hackathon Is Shifting Traditional Engagement Models and Creating an Ecosystem for Life-Transforming Te","","978-1-64316-524-0","","","","Scripture reminds us that each and every person has been equipped in a unique way to serve the Kingdom. We are reminded that none of these gifts are more valuable than the other and that through working together not only can we have a strong, vibrant, and far-reaching church, but also a world that moves closer towards wholeness and more like heaven. We are now in, and have been for some time, the Digital Age. With this has come a completely new way to communicate with others, solve complex problems, and advance the Gospel. But it seems the church has failed in many ways to function and thrive in this age. Is it possible to blaze a new path or create a space whereby passionate individuals can grow, create, and work together to help alleviate and eradicate injustice, teach God's unconditional love and build healthier and stronger societies? What are the possibilities?","2017-11","2018-12-30 21:20:00","2019-01-15 17:44:01","","","117","","","","","Hacked","","","","","Primedia eLaunch LLC","","en","","","","","Google Books","","Google-Books-ID: LTh2tgEACAAJ","","","https://books.google.co.uk/books?id=LTh2tgEACAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
